id,year,stats_type,SOG,PPP,SHG,HIT,STP,FOL,SHA,GWG,P_M,GP,PPG,SHP,G,ATOI,PTS,STPA,PPA,PIM,TTOI,BLK,A,STPG,FOW,_25,HAT,MIN,FP,FP_AVG
5349,2024,projected,205.0,13.0,0.0,48.0,13.0,618.0,0.0,4.0,-15.0,68.0,6.0,0.0,16.0,990.0,36.0,7.0,7.0,54.0,67320.0,17.0,20.0,6.0,592.0,1798.0,,,193.05,2.84
5349,2024,actual,277.0,22.0,0.0,49.0,22.0,618.0,0.0,4.0,0.0,82.0,10.0,0.0,29.0,1105.55,75.0,12.0,12.0,43.0,90655.0,24.0,46.0,10.0,592.0,1798.0,,,306.65,3.74
5349,2025,projected,252.0,19.0,,78.0,19.0,,,,-9.0,82.0,10.0,,27.0,1092.0,68.0,9.0,9.0,68.0,89544.0,27.0,41.0,10.0,,,,,295.8,3.61
5349,2025,actual,279.0,22.0,0.0,55.0,22.0,785.0,0.0,5.0,-17.0,82.0,9.0,0.0,35.0,1161.29,67.0,13.0,13.0,72.0,95226.0,30.0,32.0,9.0,679.0,1922.0,,,315.75,3.85
5349,2026,projected,278.0,22.0,,61.0,22.0,,,,-18.0,82.0,10.0,,32.0,1128.0,66.0,12.0,12.0,58.0,92496.0,29.0,34.0,10.0,,,,,299.1,3.65
5349,2026,actual,213.0,19.0,0.0,50.0,19.0,525.0,0.0,2.0,-30.0,77.0,5.0,0.0,16.0,1142.01,50.0,14.0,14.0,30.0,87935.0,30.0,34.0,5.0,464.0,1694.0,,,218.25,2.83
5349,2027,projected,241.0,21.0,,55.0,21.0,,,,-27.0,84.0,6.0,,22.0,1101.87,60.0,15.0,15.0,42.0,92557.08,34.0,38.0,6.0,,,,,259.25,3.09
5349,2027,actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5393,2023,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5393,2023,actual,9.0,0.0,1.0,12.0,1.0,0.0,0.0,0.0,-1.0,4.0,0.0,1.0,1.0,982.25,3.0,0.0,0.0,0.0,3929.0,4.0,2.0,1.0,1.0,87.0,,,14.45,3.61
5393,2024,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5393,2024,actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5393,2025,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5393,2025,actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5393,2026,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5393,2026,actual,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,321.0,0.0,0.0,0.0,0.0,321.0,0.0,0.0,0.0,2.0,9.0,,,0.2,0.2
5393,2027,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5393,2027,actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5428,2023,projected,212.0,13.0,0.0,48.0,13.0,5.0,0.0,5.0,8.0,76.0,6.0,0.0,19.0,1020.0,56.0,7.0,7.0,38.0,77520.0,29.0,37.0,6.0,4.0,188.0,,,236.8,3.12
5428,2023,actual,150.0,8.0,0.0,35.0,8.0,5.0,0.0,5.0,11.0,61.0,4.0,0.0,16.0,955.75,36.0,4.0,4.0,24.0,58301.0,33.0,20.0,4.0,4.0,1273.0,,,168.5,2.76
5428,2024,projected,180.0,11.0,0.0,45.0,11.0,3.0,0.0,1.0,-14.0,68.0,5.0,0.0,17.0,1056.0,43.0,6.0,6.0,32.0,71808.0,32.0,26.0,5.0,6.0,177.0,,,193.5,2.85
5428,2024,actual,20.0,1.0,0.0,5.0,1.0,3.0,0.0,1.0,-3.0,10.0,0.0,0.0,2.0,979.8,4.0,1.0,1.0,4.0,9798.0,3.0,2.0,0.0,6.0,177.0,,,20.5,2.05
5428,2025,projected,159.0,12.0,,37.0,12.0,,,,-19.0,63.0,5.0,,13.0,972.0,32.0,7.0,7.0,40.0,61236.0,33.0,19.0,5.0,,,,,165.45,2.63
5428,2025,actual,144.0,9.0,0.0,43.0,9.0,50.0,0.0,3.0,-14.0,77.0,5.0,0.0,18.0,910.43,42.0,4.0,4.0,36.0,70103.0,42.0,24.0,5.0,43.0,1381.0,2.0,,197.3,2.56
5428,2026,projected,148.0,18.0,,48.0,18.0,,,,9.0,75.0,7.0,,22.0,936.0,49.0,11.0,11.0,32.0,70200.0,41.0,27.0,7.0,,,,,210.8,2.81
5428,2026,actual,137.0,7.0,0.0,54.0,7.0,29.0,0.0,1.0,6.0,80.0,3.0,0.0,18.0,871.77,48.0,4.0,4.0,44.0,69742.0,30.0,30.0,3.0,20.0,1435.0,,,196.65,2.46
5428,2027,projected,126.0,7.0,,50.0,7.0,,,,3.0,75.0,3.0,,17.0,855.57,46.0,4.0,4.0,37.0,64167.97,31.0,29.0,3.0,,,,,184.5,2.46
5428,2027,actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5430,2023,projected,246.0,16.0,1.0,99.0,16.0,394.0,1.0,3.0,-16.0,80.0,4.0,2.0,26.0,1110.0,57.0,12.0,12.0,28.0,88800.0,32.0,31.0,4.0,476.0,125.0,,,257.4,3.22
5430,2023,actual,189.0,11.0,1.0,84.0,13.0,394.0,1.0,3.0,3.0,76.0,7.0,2.0,21.0,997.05,50.0,5.0,4.0,24.0,75776.0,23.0,29.0,8.0,476.0,1665.0,,,215.15,2.83
5430,2024,projected,135.0,6.0,0.0,68.0,6.0,266.0,2.0,3.0,-8.0,63.0,3.0,2.0,13.0,960.0,31.0,3.0,3.0,22.0,60480.0,18.0,18.0,3.0,342.0,1468.0,,,145.05,2.3
5430,2024,actual,154.0,8.0,0.0,53.0,10.0,266.0,2.0,3.0,10.0,68.0,3.0,2.0,25.0,992.82,52.0,7.0,5.0,26.0,67512.0,22.0,27.0,3.0,342.0,1468.0,,,207.3,3.05
5430,2025,projected,183.0,12.0,,76.0,12.0,,,,14.0,71.0,4.0,,26.0,990.0,57.0,8.0,8.0,28.0,70290.0,24.0,31.0,4.0,,,,,227.35,3.2
